epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.11628,1.706,4.01537,1.38944,0.00077,0.1,0.00107,0.0006,1.5457,4.05444,1.64792,2e-05,2e-05,2e-05
2,8.75463,1.71432,4.19629,1.43801,0.00077,0.1,0.00114,0.00064,1.54681,4.03281,1.63953,5.8812e-05,5.8812e-05,5.8812e-05
3,9.37617,1.54478,4.02368,1.50629,0.00154,0.2,0.00182,0.00122,1.44244,3.94532,1.43438,9.604e-05,9.604e-05,9.604e-05
4,10.0556,1.23394,3.65496,1.22126,0.00205,0.26667,0.00866,0.00499,1.4596,3.83616,1.26877,0.000131684,0.000131684,0.000131684
5,10.7147,1.13086,3.56048,1.13359,0.00282,0.36667,0.01472,0.00859,1.49148,3.75094,1.19979,0.000165744,0.000165744,0.000165744
6,11.3921,1.39492,3.62033,1.07583,0.00308,0.4,0.02719,0.00873,1.52613,3.73974,1.21785,0.00019822,0.00019822,0.00019822
7,12.0628,1.17589,3.25492,1.03426,0.00333,0.43333,0.03261,0.01342,1.59174,3.70224,1.18908,0.000229112,0.000229112,0.000229112
8,12.7411,0.9537,2.81416,1.04345,0.0041,0.53333,0.0398,0.02191,1.64984,3.75034,1.1629,0.00025842,0.00025842,0.00025842
9,13.3672,1.42109,2.80274,1.08064,0.0041,0.53333,0.04496,0.0255,1.65652,3.74041,1.16162,0.000286144,0.000286144,0.000286144
10,14.0073,1.24915,2.81774,1.10267,0.0041,0.53333,0.07867,0.02776,1.64331,3.76397,1.19623,0.000312284,0.000312284,0.000312284
11,14.6508,1.11598,2.44138,1.05,0.00385,0.5,0.09695,0.04325,1.73715,3.76089,1.25731,0.00033684,0.00033684,0.00033684
12,15.3103,1.1043,2.65019,1.00349,0.0041,0.53333,0.16292,0.07426,1.78026,3.69038,1.29918,0.000359812,0.000359812,0.000359812
13,15.9539,1.2583,2.12723,1.15583,0.0041,0.53333,0.15616,0.08768,1.80644,3.632,1.30881,0.0003812,0.0003812,0.0003812
14,16.6021,1.24949,2.05214,1.08063,0.00385,0.5,0.15131,0.09044,1.78632,3.58668,1.29359,0.000401004,0.000401004,0.000401004
15,17.2377,1.28059,2.31315,1.15574,0.0041,0.53333,0.15796,0.09055,1.70632,3.53952,1.24798,0.000419224,0.000419224,0.000419224
16,17.8937,1.0731,1.76377,1.02942,0.00436,0.56667,0.17699,0.10458,1.66822,3.49688,1.21887,0.00043586,0.00043586,0.00043586
17,18.5301,1.16242,1.93735,1.03984,0.00436,0.56667,0.20392,0.11522,1.76873,3.49505,1.30545,0.000450912,0.000450912,0.000450912
18,19.1703,1.21245,1.82516,0.98847,0.00462,0.6,0.24652,0.13328,1.5658,3.47747,1.16545,0.00046438,0.00046438,0.00046438
19,19.8282,0.93628,1.77702,0.94892,0.00462,0.6,0.23521,0.12798,1.51225,3.4818,1.16951,0.000476264,0.000476264,0.000476264
20,20.4637,1.25613,1.83552,1.02676,0.00487,0.63333,0.16602,0.0962,1.55734,3.4703,1.17708,0.000486564,0.000486564,0.000486564
21,21.1192,1.01156,1.65498,0.98807,0.00487,0.63333,0.22561,0.11785,1.55003,3.45323,1.16177,0.00049528,0.00049528,0.00049528
22,21.7822,1.09054,1.84688,0.98231,0.00487,0.63333,0.23327,0.1344,1.52077,3.41921,1.12045,0.000502412,0.000502412,0.000502412
23,22.4263,1.05765,1.72838,0.94247,0.00487,0.63333,0.20978,0.11942,1.54974,3.43449,1.10631,0.00050796,0.00050796,0.00050796
24,23.0574,1.04387,1.54359,1.02131,0.00462,0.6,0.21843,0.12131,1.54198,3.37568,1.14168,0.000511924,0.000511924,0.000511924
25,23.7119,1.16826,1.68358,0.96572,0.00513,0.66667,0.16269,0.10132,1.54649,3.35042,1.16765,0.000514304,0.000514304,0.000514304
26,24.3719,1.00407,1.64097,0.97728,0.49592,0.06585,0.15192,0.09037,1.51966,3.40094,1.17225,0.0005151,0.0005151,0.0005151
27,25.0399,1.0026,1.6,0.96302,0.65693,0.06472,0.12288,0.06559,1.60918,3.37031,1.24664,0.000514312,0.000514312,0.000514312
28,25.6731,1.04597,1.62562,0.99029,0.65693,0.06472,0.12288,0.06559,1.60918,3.37031,1.24664,0.00051194,0.00051194,0.00051194
29,26.3077,1.20342,1.71912,0.95517,0.00622,0.53333,0.14279,0.08576,1.59281,3.38005,1.22029,0.000507984,0.000507984,0.000507984
30,26.9898,1.12902,1.57749,0.99451,0.00513,0.66667,0.17403,0.09686,1.56479,3.39951,1.22221,0.000502444,0.000502444,0.000502444
31,27.6123,0.95092,1.56019,0.99137,0.00513,0.66667,0.17403,0.09686,1.56479,3.39951,1.22221,0.00049532,0.00049532,0.00049532
32,28.2467,0.90156,1.4378,0.97457,0.00513,0.66667,0.24579,0.13135,1.59635,3.35918,1.17829,0.000486612,0.000486612,0.000486612
33,28.9177,0.89838,1.3467,0.95616,0.00538,0.7,0.23896,0.13025,1.62788,3.29642,1.17399,0.00047632,0.00047632,0.00047632
34,29.5883,1.18057,1.47581,0.9742,0.00538,0.7,0.23896,0.13025,1.62788,3.29642,1.17399,0.000464444,0.000464444,0.000464444
35,30.2782,0.99723,1.62052,0.95487,0.58113,0.09371,0.19804,0.11929,1.60822,3.27062,1.15827,0.000450984,0.000450984,0.000450984
36,30.9405,0.99838,1.4736,0.9144,0.54761,0.08254,0.21568,0.11714,1.62314,3.2176,1.16865,0.00043594,0.00043594,0.00043594
37,31.5484,0.94656,1.47646,0.91036,0.54761,0.08254,0.21568,0.11714,1.62314,3.2176,1.16865,0.000419312,0.000419312,0.000419312
38,32.1675,1.01194,1.26002,0.94745,0.72328,0.08931,0.25711,0.13364,1.64731,3.15472,1.2372,0.0004011,0.0004011,0.0004011
39,32.8583,1.04048,1.32341,0.95311,0.74277,0.09711,0.26792,0.13499,1.79169,3.15073,1.36458,0.000381304,0.000381304,0.000381304
40,33.4958,0.87084,1.38778,0.967,0.74277,0.09711,0.26792,0.13499,1.79169,3.15073,1.36458,0.000359924,0.000359924,0.000359924
41,41.7125,0.93854,1.80258,0.92374,0.60427,0.10214,0.24664,0.11604,1.86541,3.10706,1.45313,0.00033696,0.00033696,0.00033696
42,42.361,0.93747,1.88242,0.96847,0.68772,0.14807,0.22591,0.10594,1.91,3.09865,1.50443,0.000312412,0.000312412,0.000312412
43,42.9702,1.10027,1.96081,1.06708,0.68772,0.14807,0.22591,0.10594,1.91,3.09865,1.50443,0.00028628,0.00028628,0.00028628
44,43.6225,0.97218,1.73627,0.90746,0.82714,0.16047,0.25924,0.12429,1.89562,3.08587,1.48251,0.000258564,0.000258564,0.000258564
