epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.42389,0.79942,3.08554,1.19701,0.00637,0.5434,0.14651,0.11978,0.49261,3.0488,1.04523,6.668e-05,6.668e-05,6.668e-05
2,91.9968,0.69369,2.86721,1.14102,0.00739,0.61447,0.3804,0.30724,0.52719,2.97029,0.96654,0.000147059,0.000147059,0.000147059
3,93.3344,0.67003,2.42619,1.10491,0.00766,0.5978,0.32708,0.26716,0.49021,2.87999,0.95214,0.000224138,0.000224138,0.000224138
4,94.563,0.67848,2.10297,1.12344,0.00785,0.5978,0.38547,0.33867,0.50827,2.82145,0.94606,0.000297916,0.000297916,0.000297916
5,95.8147,0.66908,1.92434,1.05857,0.00813,0.5717,0.40444,0.32241,0.64596,2.77696,1.04642,0.000368394,0.000368394,0.000368394
6,97.011,0.68663,1.71652,1.05694,0.00877,0.55503,0.42824,0.36036,0.59559,2.71513,1.02188,0.00043557,0.00043557,0.00043557
7,98.2712,0.66715,1.4856,1.07124,0.009,0.60283,0.39171,0.3052,0.64577,2.63106,1.06269,0.000499447,0.000499447,0.000499447
8,99.4932,0.72768,1.28118,1.09497,0.92314,0.15594,0.37724,0.29394,0.69498,2.59797,1.0955,0.000560022,0.000560022,0.000560022
9,100.759,0.75297,1.27735,1.13311,0.93929,0.34136,0.52785,0.41513,0.6849,2.39492,1.07337,0.000617297,0.000617297,0.000617297
10,101.969,0.69122,1.10641,1.06915,0.88617,0.33962,0.35283,0.26688,0.80735,2.47601,1.22406,0.000671271,0.000671271,0.000671271
11,103.184,0.70968,1.13135,1.08973,0.75781,0.14151,0.33893,0.2561,0.81579,2.6006,1.2459,0.000721944,0.000721944,0.000721944
12,104.42,0.68286,1.08936,1.05103,0.80413,0.24528,0.6215,0.44999,0.77575,2.36862,1.23383,0.000769317,0.000769317,0.000769317
13,105.602,0.63777,1.03743,1.04724,0.67287,0.35078,0.67828,0.52955,0.71407,2.1464,1.21008,0.000813389,0.000813389,0.000813389
14,106.826,0.6171,1.00811,1.05192,0.75222,0.59379,0.78953,0.60272,0.77758,1.97718,1.28925,0.000854161,0.000854161,0.000854161
15,108.081,0.62809,0.9698,0.99316,0.69688,0.72921,0.76419,0.60001,0.7898,1.81986,1.2817,0.000891632,0.000891632,0.000891632
16,109.305,0.6566,0.97947,1.08596,0.69508,0.71286,0.82563,0.64335,0.74943,1.79264,1.24512,0.000925802,0.000925802,0.000925802
17,110.527,0.6455,0.99574,1.04598,0.80479,0.68811,0.81516,0.61336,0.86461,1.86774,1.34774,0.000956671,0.000956671,0.000956671
18,111.716,0.58759,0.91767,1.01105,0.85737,0.67713,0.81626,0.63289,0.85756,1.85953,1.35604,0.00098424,0.00098424,0.00098424
19,112.92,0.62014,0.90602,1.03268,0.87051,0.67792,0.82932,0.62258,0.92805,1.77149,1.48061,0.00100851,0.00100851,0.00100851
20,114.13,0.64238,0.93157,1.05397,0.86518,0.73571,0.82527,0.63512,0.84854,1.54971,1.33536,0.00102948,0.00102948,0.00102948
21,115.338,0.58927,0.88777,1.01561,0.89289,0.76638,0.82349,0.65741,0.82161,1.52655,1.31191,0.00100687,0.00100687,0.00100687
22,116.539,0.60374,0.89749,1.01961,0.88627,0.72006,0.82183,0.63913,0.88215,1.64436,1.38917,0.000973861,0.000973861,0.000973861
23,117.737,0.58945,0.83292,1.02042,0.89623,0.6994,0.81661,0.62295,0.88381,1.74939,1.42227,0.000940855,0.000940855,0.000940855
24,118.981,0.58942,0.83759,1.00645,0.9122,0.72961,0.85115,0.69558,0.73936,1.55594,1.24767,0.000907848,0.000907848,0.000907848
25,120.212,0.61314,0.92314,1.05261,0.86598,0.7499,0.84486,0.67423,0.75558,1.40395,1.28436,0.000874842,0.000874842,0.000874842
26,121.448,0.60342,0.84652,1.05498,0.86187,0.72723,0.79908,0.61592,0.90489,1.54667,1.46332,0.000841835,0.000841835,0.000841835
27,122.703,0.5978,0.86281,1.02549,0.90303,0.7193,0.7894,0.60583,1.01146,1.48102,1.58064,0.000808828,0.000808828,0.000808828
28,123.937,0.64303,0.86035,1.04609,0.87902,0.78742,0.86401,0.69276,0.80022,1.19942,1.26773,0.000775822,0.000775822,0.000775822
29,125.211,0.56854,0.83283,1.02052,0.88936,0.78969,0.88063,0.7249,0.71745,1.06984,1.18235,0.000742815,0.000742815,0.000742815
30,126.455,0.59736,0.85032,1.04906,0.88858,0.80629,0.88077,0.71462,0.69497,1.05487,1.12611,0.000709809,0.000709809,0.000709809
31,127.653,0.54043,0.77047,1.00811,0.90594,0.79109,0.87319,0.71385,0.74572,1.0952,1.13412,0.000676802,0.000676802,0.000676802
32,128.875,0.58123,0.81341,1.05923,0.88517,0.80088,0.86771,0.7231,0.69733,1.14188,1.12018,0.000643795,0.000643795,0.000643795
33,130.038,0.54001,0.76449,1.00964,0.88254,0.81378,0.86806,0.71703,0.68786,1.13372,1.11937,0.000610789,0.000610789,0.000610789
34,131.222,0.52887,0.74814,1.01028,0.89469,0.82296,0.86129,0.71299,0.71112,1.1132,1.12695,0.000577782,0.000577782,0.000577782
35,132.416,0.48859,0.73071,0.96592,0.89667,0.82296,0.86236,0.70402,0.72513,1.08369,1.14118,0.000544776,0.000544776,0.000544776
36,133.637,0.52276,0.7004,0.9867,0.8382,0.84581,0.87262,0.72925,0.64472,1.02557,1.10167,0.000511769,0.000511769,0.000511769
37,134.868,0.52289,0.69491,0.98579,0.85381,0.85126,0.86644,0.73435,0.62328,0.99144,1.07902,0.000478762,0.000478762,0.000478762
38,136.049,0.50362,0.71175,0.9822,0.86638,0.855,0.86071,0.73255,0.59302,0.97518,1.05131,0.000445756,0.000445756,0.000445756
39,137.229,0.49973,0.66131,0.97489,0.83575,0.87013,0.86017,0.7417,0.57651,0.94442,1.03873,0.000412749,0.000412749,0.000412749
40,138.433,0.51079,0.69065,0.98213,0.80932,0.92565,0.86913,0.75522,0.55575,0.88021,0.99245,0.000379743,0.000379743,0.000379743
41,145.169,0.47239,0.98383,0.9441,0.87166,0.84548,0.89607,0.77894,0.53981,0.85857,0.97896,0.000346736,0.000346736,0.000346736
42,146.363,0.42021,0.83395,0.90267,0.83116,0.91411,0.90686,0.79265,0.53889,0.86048,0.97341,0.000313729,0.000313729,0.000313729
43,147.564,0.46767,0.84597,0.95011,0.83162,0.93396,0.91171,0.80207,0.55012,0.89239,0.98434,0.000280723,0.000280723,0.000280723
44,148.759,0.41267,0.78253,0.9114,0.85559,0.91166,0.91386,0.79966,0.56479,0.99971,0.98615,0.000247716,0.000247716,0.000247716
45,149.901,0.42527,0.83407,0.93055,0.90441,0.84208,0.90907,0.78654,0.58023,1.05391,0.98933,0.00021471,0.00021471,0.00021471
46,151.087,0.407,0.79573,0.87126,0.89987,0.85213,0.90785,0.79132,0.57552,1.05729,0.98664,0.000181703,0.000181703,0.000181703
47,152.224,0.38715,0.75929,0.87625,0.84756,0.91509,0.91039,0.80329,0.54626,1.00374,0.96524,0.000148696,0.000148696,0.000148696
48,153.408,0.40439,0.75672,0.89087,0.87362,0.91328,0.91544,0.82609,0.49836,0.89765,0.9392,0.00011569,0.00011569,0.00011569
49,154.607,0.40154,0.7641,0.89747,0.87119,0.91299,0.91763,0.81692,0.48562,0.85512,0.93239,8.26832e-05,8.26832e-05,8.26832e-05
50,155.862,0.3714,0.74257,0.90331,0.85292,0.93529,0.91985,0.82384,0.47625,0.83223,0.92736,4.96766e-05,4.96766e-05,4.96766e-05
